timestamp,id,element,info
1698090506165,mouseMoved,mouse,-
1698090506171,mouseMoved,mouse,-
1698090506180,mouseMoved,mouse,-
1698090506186,mouseMoved,mouse,-
1698090506194,mouseMoved,mouse,-
1698090506201,mouseMoved,mouse,-
1698090506209,mouseMoved,mouse,-
1698090506217,mouseMoved,mouse,-
1698090506223,mouseMoved,mouse,-
1698090506231,mouseMoved,mouse,-
1698090506239,mouseMoved,mouse,-
1698090506246,mouseMoved,mouse,-
1698090506441,mouseMoved,mouse,-
1698090506448,mouseMoved,mouse,-
1698090506456,mouseMoved,mouse,-
1698090506464,mouseMoved,mouse,-
1698090506471,mouseMoved,mouse,-
1698090506480,mouseMoved,mouse,-
1698090506486,mouseMoved,mouse,-
1698090506494,mouseMoved,mouse,-
1698090506501,mouseMoved,mouse,-
1698090506509,mouseMoved,mouse,-
1698090506516,mouseMoved,mouse,-
1698090506525,mouseMoved,mouse,-
1698090506531,mouseMoved,mouse,-
1698090506540,mouseMoved,mouse,-
1698090506546,mouseMoved,mouse,-
1698090506555,mouseMoved,mouse,-
1698090506561,mouseMoved,mouse,-
1698090506576,mouseMoved,mouse,-
1698090506583,mouseMoved,mouse,-
1698090507140,mouseMoved,mouse,-
1698090507148,mouseMoved,mouse,-
1698090507154,mouseMoved,mouse,-
1698090507162,mouseMoved,mouse,-
1698090507169,mouseMoved,mouse,-
1698090507178,mouseMoved,mouse,-
1698090507183,mouseMoved,mouse,-
1698090507192,mouseMoved,mouse,-
1698090507199,mouseMoved,mouse,-
1698090507206,mouseMoved,mouse,-
1698090507214,mouseMoved,mouse,-
1698090507221,mouseMoved,mouse,-
1698090507229,mouseMoved,mouse,-
1698090507236,mouseMoved,mouse,-
1698090507244,mouseMoved,mouse,-
1698090507252,mouseMoved,mouse,-
1698090507259,mouseMoved,mouse,-
1698090507267,mouseMoved,mouse,-
1698090507274,mouseMoved,mouse,-
1698090507282,mouseMoved,mouse,-
1698090507289,mouseMoved,mouse,-
1698090507296,mouseMoved,mouse,-
1698090507303,mouseMoved,mouse,-
1698090507311,mouseMoved,mouse,-
1698090507319,mouseMoved,mouse,-
1698090507326,mouseMoved,mouse,-
1698090507334,mouseMoved,mouse,-
1698090507341,mouseMoved,mouse,-
1698090507349,mouseMoved,mouse,-
1698090507356,mouseMoved,mouse,-
1698090507364,mouseMoved,mouse,-
1698090507371,mouseMoved,mouse,-
1698090507379,mouseMoved,mouse,-
1698090507387,mouseMoved,mouse,-
1698090507395,mouseMoved,mouse,-
1698090507401,mouseMoved,mouse,-
1698090507410,mouseMoved,mouse,-
1698090507426,mouseMoved,mouse,-
1698090507431,mouseMoved,mouse,-
1698090507440,mouseMoved,mouse,-
1698090507446,mouseMoved,mouse,-
1698090507453,mouseMoved,mouse,-
1698090507462,mouseMoved,mouse,-
1698090507470,mouseMoved,mouse,-
1698090507476,mouseMoved,mouse,-
1698090507484,mouseMoved,mouse,-
1698090507492,mouseMoved,mouse,-
1698090507498,mouseMoved,mouse,-
